'sample interval','ECGLeadI'
'0.008 sec','mV'
0,0.664
1,0.729
2,0.738
3,0.613
4,0.582
5,0.596
6,0.598
7,0.607
8,0.613
9,0.629
10,0.400
11,1.371
12,1.887
13,-0.129
14,0.391
15,0.727
16,0.734
17,0.744
18,0.750
19,0.770
20,0.791
21,0.811
22,0.828
23,0.844
24,0.865
25,0.875
26,0.881
27,0.875
28,0.885
29,0.881
30,0.885
31,0.869
32,0.844
33,0.801
34,0.750
35,0.686
36,0.654
37,0.621
38,0.623
39,0.607
40,0.621
41,0.629
42,0.670
43,0.713
44,0.738
45,0.629
46,0.590
47,0.596
48,0.605
49,0.613
50,0.629
51,0.635
52,0.424
53,1.121
54,1.812
55,0.008
56,-0.008
57,0.734
58,0.738
59,0.754
60,0.760
61,0.779
62,0.791
63,0.816
64,0.824
65,0.850
66,0.859
67,0.885
68,0.891
69,0.893
70,0.906
71,0.906
72,0.908
73,0.906
74,0.881
75,0.828
76,0.775
77,0.713
78,0.674
79,0.635
80,0.629
81,0.613
82,0.623
83,0.621
84,0.660
85,0.711
86,0.750
87,0.645
88,0.596
89,0.596
90,0.607
91,0.613
92,0.635
93,0.639
94,0.459
95,0.922
96,1.881
97,0.107
98,-0.057
99,0.701
100,0.734
101,0.734
102,0.750
103,0.770
104,0.775
105,0.801
106,0.818
107,0.844
108,0.840
109,0.875
110,0.881
111,0.891
112,0.885
113,0.906
114,0.893
115,0.900
116,0.875
117,0.844
118,0.775
119,0.713
120,0.664
121,0.645
122,0.621
123,0.613
124,0.621
125,0.607
126,0.645
127,0.695
128,0.738
129,0.629
130,0.574
131,0.580
132,0.598
133,0.598
134,0.607
135,0.607
136,0.453
137,0.434
138,1.902
139,0.129
140,-0.107
141,0.686
142,0.734
143,0.734
144,0.754
145,0.766
146,0.785
147,0.801
148,0.824
149,0.850
150,0.859
151,0.881
152,0.881
153,0.885
154,0.885
155,0.900
156,0.885
157,0.881
158,0.855
159,0.818
160,0.744
161,0.703
162,0.648
163,0.629
164,0.607
165,0.613
166,0.607
167,0.623
168,0.645
169,0.688
170,0.729
171,0.660
172,0.580
173,0.574
174,0.596
175,0.598
176,0.607
177,0.621
178,0.475
179,0.418
180,1.932
181,0.232
182,-0.092
183,0.680
184,0.734
185,0.734
186,0.760
187,0.766
188,0.779
189,0.795
190,0.818
191,0.844
192,0.865
193,0.881
194,0.885
195,0.900
196,0.906
197,0.908
198,0.916
199,0.906
200,0.885
201,0.840
202,0.775
203,0.727
204,0.680
205,0.639
206,0.629
207,0.623
208,0.613
209,0.621
210,0.635
211,0.688
212,0.738
213,0.686
214,0.582
215,0.590
216,0.607
217,0.621
218,0.629
219,0.639
220,0.518
221,0.402
222,1.893
223,0.418
224,-0.082
225,0.670
226,0.738
227,0.754
228,0.770
229,0.766
230,0.791
231,0.795
232,0.824
233,0.850
234,0.881
235,0.881
236,0.900
237,0.908
238,0.916
239,0.916
240,0.932
241,0.908
242,0.885
243,0.844
244,0.779
245,0.719
246,0.660
247,0.623
248,0.607
249,0.596
250,0.596
251,0.598
252,0.621
253,0.660
254,0.701
255,0.639
256,0.549
257,0.555
258,0.559
259,0.574
260,0.580
261,0.596
262,0.475
263,0.375
264,1.871
265,0.391
266,-0.137
267,0.621
268,0.719
269,0.729
270,0.734
271,0.754
272,0.775
273,0.795
274,0.816
275,0.840
276,0.859
277,0.869
278,0.881
279,0.885
280,0.891
281,0.885
282,0.893
283,0.885
284,0.891
285,0.828
286,0.779
287,0.713
288,0.670
289,0.629
290,0.621
291,0.621
292,0.621
293,0.621
294,0.645
295,0.686
296,0.744
297,0.686
298,0.590
299,0.590
300,0.596
301,0.607
302,0.613
303,0.629
304,0.533
305,0.418
306,1.848
307,0.613
308,-0.047
309,0.654
310,0.734
311,0.750
312,0.766
313,0.785
314,0.779
315,0.816
316,0.824
317,0.844
318,0.875
319,0.891
320,0.891
321,0.908
322,0.916
323,0.932
324,0.924
325,0.922
326,0.924
327,0.844
328,0.803
329,0.738
330,0.688
331,0.645
332,0.639
333,0.607
334,0.607
335,0.621
336,0.648
337,0.686
338,0.729
339,0.639
340,0.570
341,0.559
342,0.574
343,0.582
344,0.582
345,0.596
346,0.449
347,0.377
348,1.912
349,0.232
350,-0.178
351,0.607
352,0.695
353,0.703
354,0.711
355,0.729
356,0.750
357,0.775
358,0.791
359,0.816
360,0.828
361,0.850
362,0.855
363,0.875
364,0.875
365,0.891
366,0.881
367,0.881
368,0.855
369,0.811
370,0.754
371,0.701
372,0.645
373,0.621
374,0.607
375,0.598
376,0.607
377,0.598
378,0.635
379,0.670
380,0.734
381,0.660
382,0.574
383,0.564
384,0.582
385,0.582
386,0.607
387,0.607
388,0.500
389,0.385
390,1.893
391,0.375
392,-0.107
393,0.670
394,0.727
395,0.738
396,0.760
397,0.766
398,0.760
399,0.801
400,0.816
401,0.828
402,0.855
403,0.875
404,0.869
405,0.906
406,0.906
407,0.922
408,0.922
409,0.932
410,0.893
411,0.855
412,0.779
413,0.734
414,0.680
415,0.654
416,0.635
417,0.623
418,0.596
419,0.607
420,0.660
421,0.688
422,0.734
423,0.686
424,0.598
425,0.590
426,0.607
427,0.629
428,0.645
429,0.639
430,0.514
431,0.418
432,2.002
433,0.354
434,-0.115
435,0.645
436,0.734
437,0.727
438,0.744
439,0.750
440,0.770
441,0.775
442,0.803
443,0.811
444,0.824
445,0.834
446,0.828
447,0.844
448,0.840
449,0.855
450,0.859
451,0.850
452,0.828
453,0.785
454,0.727
455,0.670
456,0.623
457,0.605
458,0.582
459,0.590
460,0.582
461,0.590
462,0.613
463,0.664
464,0.711
465,0.670
466,0.570
467,0.559
468,0.580
469,0.596
470,0.605
471,0.621
472,0.549
473,0.393
474,1.766
475,1.775
476,-0.057
477,0.596
478,0.727
479,0.727
480,0.744
481,0.754
482,0.775
483,0.795
484,0.818
485,0.834
486,0.859
487,0.865
488,0.891
489,0.891
490,0.906
491,0.916
492,0.932
493,0.922
494,0.906
495,0.865
496,0.803
497,0.734
498,0.686
499,0.654
500,0.629
501,0.621
502,0.607
503,0.621
504,0.645
505,0.688
506,0.738
507,0.760
508,0.621
509,0.607
510,0.605
511,0.648
512,0.645
513,0.660
